143,Bluebird Store546,78729
144,Bluebird Store978,94703
145,Blackbird Boutique225,22239
146,Berry Farm517,40499
147,Bluebill Open mall101,65223
148,Bean Box983,47016
149,Brandy Melville359,45793
150,Cheereal168,33889
151,Bon Comida976,56843
152,Bursting Baskets501,94561
153,Addiction Like946,36519
154,Brick And Cyber799,88256
155,Calm Glitter545,1661
156,Cheat on Wheels874,22460
157,Burlington198,96447
158,Campfire Clothes393,32773
159,Apple Grand Central660,7189
160,All Things More435,3322
161,Apple Alley912,56229
162,Best of Harvests626,17321
163,Blessed Fruits356,58588
164,Cavern Cooks450,20319
165,American Eagle Shop460,84544
166,Blacklight Clothing396,4845
167,Bikini Beans402,39926
168,Blessed Fruits856,79177
169,Blue Mall432,58401
170,Best of Harvests523,3338
171,Actioner Sports Store913,6325
172,Apple Grand Central417,87094
173,Blue Market213,68757
174,Better Buys509,17185
175,Billowy Love599,52975
176,Blessed Fruits315,59253
177,Burton912,48837
178,Body Canvas445,84140
179,Blue Market950,79229
180,Blessed Bounty213,16672
181,Baskets Of Berries464,60846
182,Billowy Love323,94888
183,Carbonated Corner153,48669
184,Blessed Bounty334,98595
185,Catered Care393,76582
186,Cavern Cooks644,14199
187,Apple Alley138,47549
188,Bumble Bee Boutique789,51408
189,Blackbird Boutique285,59509
190,Boutique de Paris253,27124
191,Bon Comida693,43106
192,Best Price192,92135
193,Bruno’s Groceries243,13479
194,Bruno’s Groceries147,25045
195,Baskets Of Berries960,99839
196,Calm Glitter624,76958
197,Berries And Bushes246,62828
198,Bloomingdale’s779,48909
199,Best Mart312,3334
500,Saputra Sponges,100000
501,Vik's goated store,100000
